section,in_resume,title,institution,loc,start,end,description_1,description_2,description_3
education,TRUE,"MS Candidate, Program Evaluation and Data Analytics","Phoenix, AZ",Arizona State University,2020,2022,"Graduation anticipated 2022. Training in program evaluation and data analysis using R for linear regression, data management, statistical analysis, and vizualization.","Courses include: Data R Programming, Program Evaluation, Research Design, Multiple Regression & Hypothesis Testing, Advanced Regression Tools, ",NA
education,TRUE,"PhD Candidate, Clinical Psychology","Milwaukee, WI",University of Wisconsin-Milwaukee,1997,2003,"Completed 103 credit hours, Cumulative GPA: 3.9",Thesis: Barriers to mammography in high- and low-income women who have never had a mammogram,"Courses included: Advanced Psychological Statistics, Experimental Design, Social Psychology, Psychology of Language, Behavioral Neuroscience"
education,TRUE,"BA, Psychology major, Health Care Studies minor","Beloit, WI",Beloit College,1993,1997,Cum laude,Cumulative GPA: 3.4,NA
positions,FALSE,Clinical Research Coordinator II,"Milwaukee, WI",Medical College of Wisconsin,2010,2021,"Complex Care Program, Special Needs Section",NA,NA
positions,FALSE,Program Coordinator II,"Milwaukee, WI",Medical College of Wisconsin,2003,2009,Center for AIDS Intervention Research,NA,NA
positions,FALSE,Research Associate,"Milwaukee, WI",Medical College of Wisconsin,2002,2003,Center for AIDS Intervention Research,NA,NA
positions,FALSE,Teaching Assistant,"Milwaukee, WI",University of Wisconsin-Milwaukee,1997,2002,"Delivered lectures and led discussions, prepared lab experiments, tutored students, and graded coursework for undergraduate Psychology classes including Research Methods.",NA,NA
positions,TRUE,Smoking Cessation Researcher,"Milwaukee, WI",Medical College of Wisconsin,2001,2002,Department of Radiation Oncology,NA,NA
academic_articles,TRUE,Impact of caring for children with medical complexity on parents’ employment and time,NA,"Community, Work & Family",2017,2017,"Mandic GC, Johaningsmeir S, Corden TE, Earle A, Acevedo-Garcia D, Gordon JB.",https://doi.org/10.1080/13668803.2016.1202195,NA
academic_articles,TRUE,Impact of caring for children with medical complexity and high resource use on family quality of life,NA,Journal of Pediatric Rehabilitation Medicine,2015,2015,"Johaningsmeir SA, Colby H, Krauthoefer M, Simpson P,  Conceição SCO, Gordon JB",https://doi.org/10.3233/PRM-150321,
academic_articles,TRUE,Health Services and Health Care Needs Fulfilled by Structured Clinical Programs for Children with Medical Complexity,NA,The Journal of Pediatrics,2015,2015,"Kuo DZ, Berry JG, Glader L, Morin MJ, Johaningsmeir S, Gordon JB",https://doi.org/10.1016/j.jpeds.2015.10.010,
academic_articles,TRUE,Family caregivers as lay trainers: Perceptions of learning and the relationship between life experience and learning,NA,Adult Learning,2014,2014,"Conceição SCO, Johaningsmeir S, Colby H, Gordon JB",https://doi.org/10.1177/1045159514546216,
posters_talks,FALSE,Recommendations of a complex care perioperative program for children with medical complexity,NA,Studies in Health Technology and Informatics,2021,2021,"Lander J, Quates S, Duey-Holtz A, Johaningsmeir S, Weed A, Corden TE.",https://doi.org/10.3233/SHTI210526,
posters_talks,FALSE,Critical Care Fellows’ Perceptions of Parent Distress in the Pediatric Intensive Care Unit,NA,Pediatrics,2021,2021,"Balistreri KA, Lim PS, Linneman NG, Tager J, Davies WH, Scanlon MC, Murkowski K, Lee KJ, Karst JS, Magner KK, Lander J, Johaningsmeir S, Rothschild CB.",American Academy of Pediatrics Meeting Abstract,
posters_talks,FALSE,Using health literacy principles to design text and web-based education materials,NA,EdMedia+ Innovate Learning,2011,2011,"Conceição SCO, Colby H, Johaningsmeir S, Juhlmann A",Association for the Advancement of Computing in Education (AACE),
posters_talks,FALSE,Listening to Families: Two Years of Family Perspectives on Complex Care Program Impact,Virtual conference,Pediatric Academic Societies,2021,2021,"Johaningsmeir S, Lee KJ, Schnell JL, Kaugars A, Quates SK. ",Poster presentation,
